CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
04-1-004416,-51.94400723,261.0687976,-51.94419884,261.0685196,12.0812724,0.303500002,12.67667751,11.49447779,0.42168552,1.102849363,44.97165383,0.000417706,0.000739739,0.065576819,0.060389384,2.532918954,0.01437567,0.008131401,0.95712626,90,,,,,,CpxFF,,Slump Deposits / Floor Deposits,,,1,1,1
11-0-004374,-18.18294569,24.23492423,-18.18292847,24.23487332,14.96005212,0.230678046,15.00853489,14.88330226,0.128913013,1.008414304,138.123567,0.000481542,0.000509869,0.071006937,0.069890805,25.91841351,0.050849642,0.006722049,1,95,,,,,,CpxFF,,Floor Deposits,,,1,1,1
03-1-027276,-39.70432706,215.0028694,-39.70422837,215.0037763,19.12242351,0.589266007,20.11643823,18.15440563,0.430760667,1.108074736,12.47844326,0.000745948,0.001102142,0.123497213,0.108362568,2.727611151,0.016189309,0.009487931,1,136,,,,,,CpxFF,,Floor Deposits,,,1,1,1
12-3-000010,-45.52866701,52.05978552,-45.52944062,52.06297975,11.93965832,0.182193632,12.21253483,11.35229669,0.368668218,1.075776573,57.78768928,0.00025599,0.000596767,0.036792983,0.063073379,2.355896136,0.014813405,0.006799185,0.76968795,66,,,,,,CpxFF,,Floor Deposits,,,2,1,1
11-1-017397,-39.18863961,76.79299569,-39.18883736,76.7953314,88.1895898,1.491391896,91.08932354,85.09843943,0.356669401,1.070399459,44.9676641,0.000931837,0.001426614,0.144788924,0.14362272,1.198611198,0.005673251,0.002481621,0.90455532,473,,,,,,CpxUnc,,Floor Deposits,,,1,1,1
11-3-000095,-17.05465152,22.88912836,-17.05455772,22.88885538,39.19106011,0.456257244,39.81018794,38.49585393,0.25483336,1.034142223,95.11351231,0.000513712,0.000563871,0.071024015,0.074204655,2.91921654,0.009637441,0.002716182,0.89189559,197,,,,,,CpxUnc,Channel S,Floor Deposits / Slump Deposits / Channels,,,1,1,1
10-0-012169,22.67346444,42.33483585,22.67411304,42.32798743,21.13182804,0.331695719,21.64670394,19.79770506,0.404398487,1.093394607,91.57875753,0.000316896,0.000584049,0.043710671,0.080795295,1.292261195,0.009418057,0.004978536,0.76946235,96,,,,,,CpxFF,,Ejecta Deposits / Floor Deposits,,,1,1,1
11-0-007756,-9.769009623,32.43388021,-9.76778235,32.43352751,14.18958636,0.331046996,14.84635623,13.6463233,0.393861337,1.087938187,84.8731738,0.000736372,0.000573855,0.105005995,0.079544377,3.665511326,0.019660472,0.009971258,0.85218257,75,,,,,,CpxFF,,,,,2,1,1
15-1-020401,-20.04063378,144.3194277,-19.95131306,144.3093444,48.71148253,1.07201223,47.46189128,36.63230541,0.63583422,1.295629384,3.146757464,0.004248596,0.001923683,0.167257681,0.568240534,1.009593649,0.014903564,0.020609925,0.65273768,149,,,,,,CpxUnc,,Ejecta Deposits / Slump Deposits / Floor Deposits,3,,1,1,1
04-1-005066,-52.86259498,234.6747862,-52.86261977,234.6745827,10.19891687,0.221928659,10.43444403,9.8946245,0.317478064,1.054556849,66.95938688,0.000430552,0.000780327,0.063276267,0.066954326,5.727077302,0.025735867,0.00958214,1,85,1,Rd/SLERS,HuSL,,,CpxCPt,Terraced,Slump Deposits,,,4,3,4
