CRATER_ID,LAT_CIRC_IMG,LON_CIRC_IMG,LAT_ELLI_IMG,LON_ELLI_IMG,DIAM_CIRC_IMG,DIAM_CIRC_SD_IMG,DIAM_ELLI_MAJOR_IMG,DIAM_ELLI_MINOR_IMG,DIAM_ELLI_ECCEN_IMG,DIAM_ELLI_ELLIP_IMG,DIAM_ELLI_ANGLE_IMG,LAT_ELLI_SD_IMG,LON_ELLI_SD_IMG,DIAM_ELLI_MAJOR_SD_IMG,DIAM_ELLI_MINOR_SD_IMG,DIAM_ELLI_ANGLE_SD_IMG,DIAM_ELLI_ECCEN_SD_IMG,DIAM_ELLI_ELLIP_SD_IMG,ARC_IMG,PTS_RIM_IMG,LAY_NUMBER,LAY_MORPH1,LAY_MORPH2,LAY_MORPH3,LAY_NOTES,INT_MORPH1,INT_MORPH2,INT_MORPH3,CONF,NOTES,DEG_RIM,DEG_EJC,DEG_FLR
06-1-005595,29.568913,312.55383,29.568941,312.5538,1.8718671,0.05003447,1.908716,1.8079364,0.3206423,1.0557429,115.85277,0.000435145,0.000515102,0.058614444,0.06632126,30.39588,0.13386214,0.050507165,1.0,12.0,,,,,,,,,,,,,
14-1-001274,36.636612,95.76654,36.63629,95.768036,10.506263,0.18187483,10.974704,10.198853,0.369312,1.0760725,148.20006,0.000297929,0.000561224,0.06560705,0.04302533,3.117254,0.0171095,0.007873273,0.82764053,58.0,2,Rd/DLEPC/DLEPS,HuSL,Inner is Pin-Cushion,,CpxFF,,Floor Deposits,,,3,3,3
06-4-032788,16.621115,332.028,16.620802,332.02744,1.5967727,0.056577716,1.7759074,1.488553,0.5453738,1.1930428,43.38636,0.000276527,0.000371384,0.057654608,0.029977072,6.5234528,0.049215194,0.045578655,0.7726151,15.0,,,,,,,,,,,,,
11-0-002399,-27.147606,48.025883,-27.147598,48.02587,2.0721505,0.036188733,2.1049526,2.0359237,0.25399145,1.0339054,74.7504,0.000197295,0.000214955,0.028608887,0.028179593,18.843613,0.07144737,0.02005616,1.0,14.0,,,,,,,,,,,,,
15-1-011040,-11.709933,144.6582,-11.709983,144.65816,1.6588413,0.07015734,1.6935128,1.6185851,0.29416028,1.0462921,85.36749,0.000466345,0.000418731,0.06725348,0.055938076,39.861164,0.16347994,0.055081684,1.0,13.0,,,,,,,,,,,,,
06-1-001970,37.721733,355.39316,37.72176,355.39316,1.9300635,0.058997665,1.9928389,1.8433615,0.37998474,1.0810895,81.75768,0.000336458,0.00044772,0.046104424,0.050591193,16.513151,0.08082513,0.03880588,1.0,12.0,,,,,,,,,,,,,
12-1-011343,-64.54669,79.59648,-64.54644,79.59753,1.2324657,0.090153575,1.3882796,1.0820434,0.62651026,1.2830166,70.46814,0.000546589,0.000958685,0.07893573,0.05983615,9.886767,0.07690668,0.1017628,1.0,13.0,,,,,,,,,,,,,
15-1-021051,-21.10947,176.79863,-21.10951,176.79865,1.3220446,0.07380257,1.401946,1.2303528,0.4793871,1.1394666,102.18202,0.000493041,0.000464474,0.067566805,0.06202888,18.255013,0.11205437,0.07947308,1.0,11.0,,,,,,,,,,,,,
11-1-000682,-1.6786416,23.178978,-1.6785979,23.17899,1.1529487,0.042407382,1.1716287,1.1268803,0.27372995,1.03971,77.34433,0.000338212,0.000359161,0.049285866,0.050848648,51.272717,0.2084823,0.064139895,1.0,9.0,,,,,,,,,,,,,
15-4-007159,-12.063727,144.75966,-12.063692,144.76001,1.2822973,0.1369631,1.7373476,0.8722488,0.8648341,1.9918027,26.40898,0.000214546,0.00028739,0.044243373,0.026925286,1.6788483,0.011663393,0.079707034,1.0,17.0,,,,,,,,,,,,,
10-1-001452,37.700638,32.208275,37.700977,32.20799,1.1131077,0.096456744,1.1686692,0.9891395,0.5325778,1.1815009,87.320946,0.00089292,0.001150584,0.12630267,0.13778494,31.990173,0.2371462,0.20830585,1.0,9.0,,,,,,,,,,,,,
05-1-000645,64.453354,313.33722,64.453316,313.33713,2.6050174,0.039733108,2.687329,2.5267248,0.34052223,1.0635623,121.20633,0.00009,0.000203126,0.013279763,0.012286973,3.7853003,0.017999068,0.007373678,1.0,33.0,,,,,,,,,,,,,
06-4-018567,16.890364,352.11322,16.89036,352.11322,1.1993983,0.013599804,1.2206604,1.1771395,0.26464322,1.0369718,43.536236,0.0000706,0.0000718,0.010206572,0.010058945,10.799988,0.042012297,0.012397611,1.0,15.0,,,,,,,,,,,,,
06-1-009088,18.691319,285.7696,18.691448,285.76974,1.5962324,0.07495821,1.8196919,1.3504978,0.6702257,1.3474231,85.66273,0.000641874,0.000556762,0.09034655,0.07697906,8.351869,0.06212202,0.101854116,1.0,10.0,,,,,,,,,,,,,
03-1-012428,-22.98523,198.10559,-22.985416,198.10579,1.013077,0.06694939,1.126794,0.869925,0.6355793,1.2952771,100.78402,0.000352639,0.000326763,0.052981805,0.050106373,7.795401,0.06972799,0.09630857,1.0,8.0,,,,,,,,,,,,,
11-0-009958,-3.6696184,16.543127,-3.6696377,16.543114,2.3992982,0.042204674,2.487821,2.3150494,0.36615726,1.0746298,166.37225,0.000202153,0.000217404,0.03213122,0.029168865,8.121123,0.042670693,0.019389832,1.0,15.0,,,,,,,,,,,,,
